nodeID,xcoord,ycoord,floor,building,nodeType,longName,shortName
DELEV00A02,4550,375,2,15 Francis,ELEV,Elevator A Floor 2,Elevator A2
DELEV00B02,4155,650,2,15 Francis,ELEV,Elevator B Floor 2,Elevator B2
DELEV00C02,3955,885,2,15 Francis,ELEV,Elevator C Floor 2,Elevator C2
DELEV00D02,3475,760,2,15 Francis,ELEV,Elevator D Floor 2,Elevator D2
DREST00102,4125,625,2,15 Francis,REST,Restroom B elevator Floor 2,Restroom B
DREST00202,3895,695,2,15 Francis,REST,Restroom C elevator Floor 2,Restroom C
DREST00302,3635,830,2,15 Francis,REST,Restroom C-D elevator Floor 2,Restroom C-D
DREST00402,3525,850,2,15 Francis,REST,Restroom D elevator Floor 2,Restroom D
DINFO00102,4210,630,2,15 Francis,INFO,15 Francis Security Desk Floor 2,Information Desk
DINFO00202,3490,825,2,15 Francis,INFO,Security Desk Thorn Floor 2,Security Desk
DDEPT00102,4330,700,2,15 Francis,DEPT,Chest Diseases Floor 2,Chest Diseases
DDEPT00202,4240,730,2,15 Francis,DEPT,Thoracic Surgery Clinic Floor 2,Thoracic Surgery Clinic
DDEPT00302,3900,640,2,15 Francis,DEPT,Brigham Health Floor 2,Brigham Health
DDEPT00402,3425,870,2,15 Francis,DEPT,Waiting Room Floor 2,Waiting Room
DLABS00102,3830,775,2,15 Francis,LABS,MRI Associates Floor 2,MRI Associates
DCONF00102,4595,550,2,15 Francis,CONF,Carrie M. Hall Conference Center Floor 2,Conference Center
DRETL00102,4270,480,2,15 Francis,RETL,Pats Place Floor 2,Pats Place
DEXIT00102,4295,750,2,15 Francis,EXIT,15 Lobby Entrance Floor 2,15 Lobby Entrance
DSTAI00102,4650,675,2,15 Francis,STAI,Staircase1 Floor2,Staircase1
DSTAI00202,4320,550,2,15 Francis,STAI,Staircase2 Floor2,Staircase2
DSTAI00302,4250,440,2,15 Francis,STAI,Staircase3 Floor2,Staircase3
DSTAI00402,4175,620,2,15 Francis,STAI,Staircase4 Floor2,Staircase4
DSTAI00502,4065,630,2,15 Francis,STAI,Staircase5 Floor2,Staircase5
DSTAI00602,3950,865,2,15 Francis,STAI,Staircase6 Floor2,Staircase6
DSTAI00702,3855,565,2,15 Francis,STAI,Staircase7 Floor2,Staircase7
DSTAI00802,3535,645,2,15 Francis,STAI,Staircase8 Floor2,Staircase8
DHALL00102,4770,1140,2,15 Francis,HALL,Hallway 1 Floor 2,Hallway D0102
DHALL00202,4750,1080,2,15 Francis,HALL,Hallway 2 Floor 2,Hallway D0202
DHALL00302,4725,995,2,15 Francis,HALL,Hallway 3 Floor 2,Hallway D0302
DHALL00402,4785,975,2,15 Francis,HALL,Hallway 4 Floor 2,Hallway D0402
DHALL00502,4705,925,2,15 Francis,HALL,Hallway 5 Floor 2,Hallway D0502
DHALL00602,4690,870,2,15 Francis,HALL,Hallway 6 Floor 2,Hallway D0602
DHALL00702,4675,820,2,15 Francis,HALL,Hallway 7 Floor 2,Hallway D0702
DHALL00802,4660,770,2,15 Francis,HALL,Hallway 8 Floor 2,Hallway D0802
DHALL00902,4635,680,2,15 Francis,HALL,Hallway 9 Floor 2,Hallway D0902
DHALL01002,4625,650,2,15 Francis,HALL,Hallway 10 Floor 2,Hallway D1002
DHALL01102,4605,655,2,15 Francis,HALL,Hallway 11 Floor 2,Hallway D1102
DHALL01202,4570,555,2,15 Francis,HALL,Hallway 12 Floor 2,Hallway D1202
DHALL01302,4545,460,2,15 Francis,HALL,Hallway 13 Floor 2,Hallway D1302
DHALL01402,4570,455,2,15 Francis,HALL,Hallway 14 Floor 2,Hallway D1402
DHALL01502,4555,390,2,15 Francis,HALL,Hallway 15 Floor 2,Hallway D1502
DHALL01602,4480,580,2,15 Francis,HALL,Hallway 16 Floor 2,Hallway D1602
DHALL01702,4390,605,2,15 Francis,HALL,Hallway 17 Floor 2,Hallway D1702
DHALL01802,4385,585,2,15 Francis,HALL,Hallway 18 Floor 2,Hallway D1802
DHALL01902,4340,625,2,15 Francis,HALL,Hallway 19 Floor 2,Hallway D1902
DHALL02002,4310,585,2,15 Francis,HALL,Hallway 20 Floor 2,Hallway D2002
DHALL02102,4295,530,2,15 Francis,HALL,Hallway 21 Floor 2,Hallway D2102
DHALL02202,4280,475,2,15 Francis,HALL,Hallway 22 Floor 2,Hallway D2202
DHALL02302,4270,440,2,15 Francis,HALL,Hallway 23 Floor 2,Hallway D2302
DHALL02402,4280,435,2,15 Francis,HALL,Hallway 24 Floor 2,Hallway D2402
DHALL02502,4290,470,2,15 Francis,HALL,Hallway 25 Floor 2,Hallway D2502
DHALL02602,4270,650,2,15 Francis,HALL,Hallway 26 Floor 2,Hallway D2602
DHALL02702,4285,715,2,15 Francis,HALL,Hallway 27 Floor 2,Hallway D2702
DHALL02802,4220,660,2,15 Francis,HALL,Hallway 28 Floor 2,Hallway D2802
DHALL02902,4185,665,2,15 Francis,HALL,Hallway 29 Floor 2,Hallway D2902
DHALL03002,4140,680,2,15 Francis,HALL,Hallway 30 Floor 2,Hallway D3002
DHALL03102,4130,650,2,15 Francis,HALL,Hallway 31 Floor 2,Hallway D3102
DHALL03202,4020,715,2,15 Francis,HALL,Hallway 32 Floor 2,Hallway D3202
DHALL03302,4000,645,2,15 Francis,HALL,Hallway 33 Floor 2,Hallway D3302
DHALL03402,3925,740,2,15 Francis,HALL,Hallway 34 Floor 2,Hallway D3402
DHALL03502,3945,790,2,15 Francis,HALL,Hallway 35 Floor 2,Hallway D3502
DHALL03602,3955,830,2,15 Francis,HALL,Hallway 36 Floor 2,Hallway D3602
DHALL03702,3965,860,2,15 Francis,HALL,Hallway 37 Floor 2,Hallway D3702
DHALL03802,3970,880,2,15 Francis,HALL,Hallway 38 Floor 2,Hallway D3802
DHALL03902,3980,910,2,15 Francis,HALL,Hallway 39 Floor 2,Hallway D3902
DHALL04002,3910,685,2,15 Francis,HALL,Hallway 40 Floor 2,Hallway D4002
DHALL04102,3875,560,2,15 Francis,HALL,Hallway 41 Floor 2,Hallway D4102
DHALL04202,3870,540,2,15 Francis,HALL,Hallway 42 Floor 2,Hallway D4202
DHALL04302,3865,750,2,15 Francis,HALL,Hallway 43 Floor 2,Hallway D4302
DHALL04402,3860,725,2,15 Francis,HALL,Hallway 44 Floor 2,Hallway D4402
DHALL04502,3775,745,2,15 Francis,HALL,Hallway 45 Floor 2,Hallway D4502
DHALL04602,3825,760,2,15 Francis,HALL,Hallway 46 Floor 2,Hallway D4602
DHALL04702,3745,780,2,15 Francis,HALL,Hallway 47 Floor 2,Hallway D4702
DHALL04802,3655,805,2,15 Francis,HALL,Hallway 48 Floor 2,Hallway D4802
DHALL04902,3645,775,2,15 Francis,HALL,Hallway 49 Floor 2,Hallway D4902
DHALL05002,3630,810,2,15 Francis,HALL,Hallway 50 Floor 2,Hallway D5002
DHALL05102,3575,825,2,15 Francis,HALL,Hallway 51 Floor 2,Hallway D5102
DHALL05202,3555,730,2,15 Francis,HALL,Hallway 52 Floor 2,Hallway D5202
DHALL05302,3525,840,2,15 Francis,HALL,Hallway 53 Floor 2,Hallway D5302
DHALL05402,3490,845,2,15 Francis,HALL,Hallway 54 Floor 2,Hallway D5402
DHALL05502,3450,850,2,15 Francis,HALL,Hallway 55 Floor 2,Hallway D5502
DHALL05602,3440,800,2,15 Francis,HALL,Hallway 56 Floor 2,Hallway D5602
DHALL05702,3480,790,2,15 Francis,HALL,Hallway 57 Floor 2,Hallway D5702
DHALL05802,3510,790,2,15 Francis,HALL,Hallway 58 Floor 2,Hallway D5802
DHALL05902,3420,850,2,15 Francis,HALL,Hallway 59 Floor 2,Hallway D5902
DHALL06002,4330,580,2,15 Francis,HALL,Hallway 60 Floor 2,Hallway D6002